=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

410. Nimetazepam                                        | B1 - Psicotrópicos
411. Nitrazepam                                         | B1 - Psicotrópicos
412. Nitrito de isobutila                               | C1 - Outras Substâncias de Controle Especial
413. Nitrito de isopentila                              | C1 - Outras Substâncias de Controle Especial
414. Nitrito de isopropila                              | C1 - Outras Substâncias de Controle Especial
415. nitrofural                                         | Antimicrobianos
416. nitrofurantoína                                    | Antimicrobianos
417. nitroxolina                                        | Antimicrobianos
418. Nomifensina                                        | C1 - Outras Substâncias de Controle Especial
419. Noracimetadol                                      | A1 - Entorpecentes
420. Norcanfano (fencanfamina)                          | B1 - Psicotrópicos
421. Norcodeína                                         | A2 - Entorpecentes de Uso Especial
422. Nordazepam                                         | B1 - Psicotrópicos
423. Noretandrolona                                     | C5 - Anabolizantes
424. norfloxacina                                       | Antimicrobianos
425. Norlevorfanol                                      | A1 - Entorpecentes
426. Normetadona                                        | A1 - Entorpecentes
427. Normorfina                                         | A1 - Entorpecentes
428. Norpipanona                                        | A1 - Entorpecentes
429. Nortriptilina                                      | C1 - Outras Substâncias de Controle Especial
430. Noxiptilina                                        | C1 - Outras Substâncias de Controle Especial
431. ofloxacina                                         | Antimicrobianos
432. Olanzapina                                         | C1 - Outras Substâncias de Controle Especial
433. Ópio                                               | A1 - Entorpecentes
434. Opipramol                                          | C1 - Outras Substâncias de Controle Especial
435. Oripavina                                          | A1 - Entorpecentes
436. oxacilina                                          | Antimicrobianos
437. Oxandrolona                                        | C5 - Anabolizantes
438. Oxazepam                                           | B1 - Psicotrópicos
439. Oxazolam                                           | B1 - Psicotrópicos
440. Oxcarbazepina                                      | C1 - Outras Substâncias de Controle Especial
441. Oxibuprocaína (benoxinato)                         | C1 - Outras Substâncias de Controle Especial
442. Oxicodona                                          | A1 - Entorpecentes
443. Oxifenamato                                        | C1 - Outras Substâncias de Controle Especial
444. Oximesterona                                       | C5 - Anabolizantes
445. Oximetolona                                        | C5 - Anabolizantes
446. Oximorfona                                         | A1 - Entorpecentes
447. Oxipertina                                         | C1 - Outras Substâncias de Controle Especial
448. oxitetraciclina                                    | Antimicrobianos
449. Paliperidona                                       | C1 - Outras Substâncias de Controle Especial
450. Parecoxibe                                         | C1 - Outras Substâncias de Controle Especial
451. Paroxetina                                         | C1 - Outras Substâncias de Controle Especial
452. pefloxacina                                        | Antimicrobianos
453. Pemolina                                           | B1 - Psicotrópicos
454. Penfluridol                                        | C1 - Outras Substâncias de Controle Especial
455. penicilina G                                       | Antimicrobianos
456. penicilina V                                       | Antimicrobianos
457. Pentazocina                                        | B1 - Psicotrópicos
458. Pentobarbital                                      | B1 - Psicotrópicos
459. Perampanel                                         | B1 - Psicotrópicos
460. Perfenazina                                        | C1 - Outras Substâncias de Controle Especial
461. Pergolida                                          | C1 - Outras Substâncias de Controle Especial
462. Periciazina (propericiazina)                       | C1 - Outras Substâncias de Controle Especial
463. Petidina                                           | A1 - Entorpecentes
464. Piminodina                                         | A1 - Entorpecentes
465. Pimozida                                           | C1 - Outras Substâncias de Controle Especial
466. Pinazepam                                          | B1 - Psicotrópicos
467. Pipamperona                                        | C1 - Outras Substâncias de Controle Especial
468. piperacilina                                       | Antimicrobianos
469. Pipotiazina                                        | C1 - Outras Substâncias de Controle Especial
470. Pipradrol                                          | B1 - Psicotrópicos
471. pirazinamida                                       | Antimicrobianos
472. Piritramida                                        | A1 - Entorpecentes
473. Pirovalerona                                       | B1 - Psicotrópicos
474. polimixina B                                       | Antimicrobianos
475. Pomalidomida                                       | C3 - Imunossupressores
476. Pramipexol                                         | C1 - Outras Substâncias de Controle Especial
477. Prasterona (deidroepiandrosterona - DHEA)          | C5 - Anabolizantes
478. Prazepam                                           | B1 - Psicotrópicos
479. Pregabalina                                        | C1 - Outras Substâncias de Controle Especial
480. Primidona                                          | C1 - Outras Substâncias de Controle Especial
481. pristinamicina                                     | Antimicrobianos
482. Proclorperazina                                    | C1 - Outras Substâncias de Controle Especial
483. Proeptazina                                        | A1 - Entorpecentes
484. Prolintano                                         | B1 - Psicotrópicos
485. Promazina                                          | C1 - Outras Substâncias de Controle Especial
486. Propanidina                                        | C1 - Outras Substâncias de Controle Especial
487. Properidina                                        | A1 - Entorpecentes
488. Propilexedrina                                     | B1 - Psicotrópicos
489. Propiomazina                                       | C1 - Outras Substâncias de Controle Especial
490. Propiram                                           | A2 - Entorpecentes de Uso Especial
